dataset,k,metric,run_id,split,value
scifact_bm25,1,recall,beir3_bm25,test,0.5248333333333334
scifact_bm25,1,precision,beir3_bm25,test,0.5433333333333333
scifact_bm25,1,ndcg,beir3_bm25,test,0.5433333333333333
scifact_bm25,1,mrr,beir3_bm25,test,0.5433333333333333
scifact_bm25,3,recall,beir3_bm25,test,0.6806666666666666
scifact_bm25,3,precision,beir3_bm25,test,0.2411111111111111
scifact_bm25,3,ndcg,beir3_bm25,test,0.6250380371059234
scifact_bm25,3,mrr,beir3_bm25,test,0.615
scifact_bm25,5,recall,beir3_bm25,test,0.7242777777777778
scifact_bm25,5,precision,beir3_bm25,test,0.15666666666666668
scifact_bm25,5,ndcg,beir3_bm25,test,0.6431205611773072
scifact_bm25,5,mrr,beir3_bm25,test,0.6246666666666667
scifact_bm25,10,recall,beir3_bm25,test,0.7849444444444444
scifact_bm25,10,precision,beir3_bm25,test,0.08700000000000001
scifact_bm25,10,ndcg,beir3_bm25,test,0.6646598637127541
scifact_bm25,10,mrr,beir3_bm25,test,0.6327804232804233
scifact_bm25,20,recall,beir3_bm25,test,0.8258888888888889
scifact_bm25,20,precision,beir3_bm25,test,0.046
scifact_bm25,20,ndcg,beir3_bm25,test,0.6756360459218702
scifact_bm25,20,mrr,beir3_bm25,test,0.6357090053192994
scifact_bm25,,mrr,beir3_bm25,test,0.6372266346267194
