dataset,k,metric,run_id,split,value
fiqa-2018,1,recall,beir3_sfr_gpu1,test,0.2459759804667212
fiqa-2018,1,precision,beir3_sfr_gpu1,test,0.4691358024691358
fiqa-2018,1,ndcg,beir3_sfr_gpu1,test,0.4691358024691358
fiqa-2018,1,mrr,beir3_sfr_gpu1,test,0.4691358024691358
fiqa-2018,3,recall,beir3_sfr_gpu1,test,0.40641404206219023
fiqa-2018,3,precision,beir3_sfr_gpu1,test,0.29732510288065844
fiqa-2018,3,ndcg,beir3_sfr_gpu1,test,0.44597394794201606
fiqa-2018,3,mrr,beir3_sfr_gpu1,test,0.5336934156378601
fiqa-2018,5,recall,beir3_sfr_gpu1,test,0.4767310964070223
fiqa-2018,5,precision,beir3_sfr_gpu1,test,0.22006172839506175
fiqa-2018,5,ndcg,beir3_sfr_gpu1,test,0.46126041285514363
fiqa-2018,5,mrr,beir3_sfr_gpu1,test,0.5481995884773663
fiqa-2018,10,recall,beir3_sfr_gpu1,test,0.5551348428663243
fiqa-2018,10,precision,beir3_sfr_gpu1,test,0.13317901234567903
fiqa-2018,10,ndcg,beir3_sfr_gpu1,test,0.48539890670999497
fiqa-2018,10,mrr,beir3_sfr_gpu1,test,0.5569634283754654
fiqa-2018,20,recall,beir3_sfr_gpu1,test,0.6288188449068078
fiqa-2018,20,precision,beir3_sfr_gpu1,test,0.07862654320987654
fiqa-2018,20,ndcg,beir3_sfr_gpu1,test,0.5110583232904369
fiqa-2018,20,mrr,beir3_sfr_gpu1,test,0.5604188384791599
fiqa-2018,,mrr,beir3_sfr_gpu1,test,0.5638854622997084
