dataset,k,metric,run_id,split,value
beir3_average,1,recall,beir3_oscar_flatten_gpu0,test,0.0004920483758510197
beir3_average,1,precision,beir3_oscar_flatten_gpu0,test,0.007220757048758425
beir3_average,1,ndcg,beir3_oscar_flatten_gpu0,test,0.007220757048758425
beir3_average,1,mrr,beir3_oscar_flatten_gpu0,test,0.007220757048758425
beir3_average,3,recall,beir3_oscar_flatten_gpu0,test,0.000726100808435016
beir3_average,3,precision,beir3_oscar_flatten_gpu0,test,0.008426339996687434
beir3_average,3,ndcg,beir3_oscar_flatten_gpu0,test,0.007720741433571906
beir3_average,3,mrr,beir3_oscar_flatten_gpu0,test,0.01315391328721222
beir3_average,5,recall,beir3_oscar_flatten_gpu0,test,0.0009123101974998745
beir3_average,5,precision,beir3_oscar_flatten_gpu0,test,0.008048261539833608
beir3_average,5,ndcg,beir3_oscar_flatten_gpu0,test,0.0077031798470380474
beir3_average,5,mrr,beir3_oscar_flatten_gpu0,test,0.015527175782593739
beir3_average,10,recall,beir3_oscar_flatten_gpu0,test,0.0011745554203868296
beir3_average,10,precision,beir3_oscar_flatten_gpu0,test,0.0055203595408273775
beir3_average,10,ndcg,beir3_oscar_flatten_gpu0,test,0.006149411633986887
beir3_average,10,mrr,beir3_oscar_flatten_gpu0,test,0.016573323792010486
beir3_average,20,recall,beir3_oscar_flatten_gpu0,test,0.004722226714745648
beir3_average,20,precision,beir3_oscar_flatten_gpu0,test,0.004423234465976125
beir3_average,20,ndcg,beir3_oscar_flatten_gpu0,test,0.006156434156115325
beir3_average,20,mrr,beir3_oscar_flatten_gpu0,test,0.01756264244845749
beir3_average,,mrr,beir3_oscar_flatten_gpu0,test,0.018980385784294947
