dataset,k,metric,run_id,split,value
beir3_average,1,recall,beir3_projector_best_gpu1,test,0.0167241627708335
beir3_average,1,precision,beir3_projector_best_gpu1,test,0.04495935736217815
beir3_average,1,ndcg,beir3_projector_best_gpu1,test,0.04495935736217815
beir3_average,1,mrr,beir3_projector_best_gpu1,test,0.04495935736217815
beir3_average,3,recall,beir3_projector_best_gpu1,test,0.031815034900379735
beir3_average,3,precision,beir3_projector_best_gpu1,test,0.03074793920167157
beir3_average,3,ndcg,beir3_projector_best_gpu1,test,0.04581449629059071
beir3_average,3,mrr,beir3_projector_best_gpu1,test,0.06214137225173804
beir3_average,5,recall,beir3_projector_best_gpu1,test,0.040696016651384566
beir3_average,5,precision,beir3_projector_best_gpu1,test,0.027225076125316924
beir3_average,5,ndcg,beir3_projector_best_gpu1,test,0.04797697922334567
beir3_average,5,mrr,beir3_projector_best_gpu1,test,0.0684925042574968
beir3_average,10,recall,beir3_projector_best_gpu1,test,0.06380347362152343
beir3_average,10,precision,beir3_projector_best_gpu1,test,0.0233769955025545
beir3_average,10,ndcg,beir3_projector_best_gpu1,test,0.05366958949190434
beir3_average,10,mrr,beir3_projector_best_gpu1,test,0.07576178033844395
beir3_average,20,recall,beir3_projector_best_gpu1,test,0.09090514999036854
beir3_average,20,precision,beir3_projector_best_gpu1,test,0.01902906139713845
beir3_average,20,ndcg,beir3_projector_best_gpu1,test,0.05912079003834614
beir3_average,20,mrr,beir3_projector_best_gpu1,test,0.07982114852705946
beir3_average,,mrr,beir3_projector_best_gpu1,test,0.08428305526107853
