dataset,k,metric,run_id,split,value
beir3_average,1,recall,beir3_sfr_gpu1,test,0.30329642022170256
beir3_average,1,precision,beir3_sfr_gpu1,test,0.5378474690720992
beir3_average,1,ndcg,beir3_sfr_gpu1,test,0.5378474690720992
beir3_average,1,mrr,beir3_sfr_gpu1,test,0.5378474690720992
beir3_average,3,recall,beir3_sfr_gpu1,test,0.4255783093681627
beir3_average,3,precision,beir3_sfr_gpu1,test,0.32657425456645733
beir3_average,3,ndcg,beir3_sfr_gpu1,test,0.5331020034015311
beir3_average,3,mrr,beir3_sfr_gpu1,test,0.6013819240063364
beir3_average,5,recall,beir3_sfr_gpu1,test,0.4797260103760274
beir3_average,5,precision,beir3_sfr_gpu1,test,0.2572403903731733
beir3_average,5,ndcg,beir3_sfr_gpu1,test,0.5404369633572915
beir3_average,5,mrr,beir3_sfr_gpu1,test,0.6160599362118683
beir3_average,10,recall,beir3_sfr_gpu1,test,0.5386853138311551
beir3_average,10,precision,beir3_sfr_gpu1,test,0.17493204780287686
beir3_average,10,ndcg,beir3_sfr_gpu1,test,0.5415815029760668
beir3_average,10,mrr,beir3_sfr_gpu1,test,0.6232719962326133
beir3_average,20,recall,beir3_sfr_gpu1,test,0.5996528964412059
beir3_average,20,precision,beir3_sfr_gpu1,test,0.11663093235994854
beir3_average,20,ndcg,beir3_sfr_gpu1,test,0.5443748980922601
beir3_average,20,mrr,beir3_sfr_gpu1,test,0.6269359394664265
beir3_average,,mrr,beir3_sfr_gpu1,test,0.6289394269199614
