dataset,k,metric,run_id,split,value
beir3_bm25_average,1,recall,bm25_beir3,test,0.2285209509464354
beir3_bm25_average,1,precision,bm25_beir3,test,0.40018798812572465
beir3_bm25_average,1,ndcg,bm25_beir3,test,0.40018798812572465
beir3_bm25_average,1,mrr,bm25_beir3,test,0.40018798812572465
beir3_bm25_average,3,recall,bm25_beir3,test,0.3225256304905366
beir3_bm25_average,3,precision,bm25_beir3,test,0.2360662852968781
beir3_bm25_average,3,ndcg,bm25_beir3,test,0.39888810115183765
beir3_bm25_average,3,mrr,bm25_beir3,test,0.4577424225050644
beir3_bm25_average,5,recall,bm25_beir3,test,0.35969166019639814
beir3_bm25_average,5,precision,bm25_beir3,test,0.17895176394144405
beir3_bm25_average,5,ndcg,bm25_beir3,test,0.3993130141408274
beir3_bm25_average,5,mrr,bm25_beir3,test,0.47023744091528746
beir3_bm25_average,10,recall,bm25_beir3,test,0.41180280846640643
beir3_bm25_average,10,precision,bm25_beir3,test,0.12382331919122425
beir3_bm25_average,10,ndcg,bm25_beir3,test,0.4024471412605721
beir3_bm25_average,10,mrr,bm25_beir3,test,0.48012266755305105
beir3_bm25_average,20,recall,bm25_beir3,test,0.45371083881455876
beir3_bm25_average,20,precision,bm25_beir3,test,0.08120968224846793
beir3_bm25_average,20,ndcg,bm25_beir3,test,0.4017685897893288
beir3_bm25_average,20,mrr,bm25_beir3,test,0.48329089932227093
beir3_bm25_average,,mrr,bm25_beir3,test,0.4856288168054035
