dataset,k,metric,run_id,split,value
nfcorpus_bm25,1,recall,bm25_beir3,test,0.05857090137513244
nfcorpus_bm25,1,precision,bm25_beir3,test,0.44272445820433437
nfcorpus_bm25,1,ndcg,bm25_beir3,test,0.44272445820433437
nfcorpus_bm25,1,mrr,bm25_beir3,test,0.44272445820433437
nfcorpus_bm25,3,recall,bm25_beir3,test,0.10323770733612944
nfcorpus_bm25,3,precision,bm25_beir3,test,0.33642930856553144
nfcorpus_bm25,3,ndcg,bm25_beir3,test,0.3759386390263538
nfcorpus_bm25,3,mrr,bm25_beir3,test,0.49896800825593396
nfcorpus_bm25,5,recall,bm25_beir3,test,0.12039772882860932
nfcorpus_bm25,5,precision,bm25_beir3,test,0.28111455108359135
nfcorpus_bm25,5,ndcg,bm25_beir3,test,0.34501050052167254
nfcorpus_bm25,5,mrr,bm25_beir3,test,0.512125902992776
nfcorpus_bm25,10,recall,bm25_beir3,test,0.1525345698309192
nfcorpus_bm25,10,precision,bm25_beir3,test,0.21826625386996903
nfcorpus_bm25,10,ndcg,bm25_beir3,test,0.3104557803820693
nfcorpus_bm25,10,mrr,bm25_beir3,test,0.5204788933117106
nfcorpus_bm25,20,recall,bm25_beir3,test,0.17757338284750557
nfcorpus_bm25,20,precision,bm25_beir3,test,0.15681114551083591
nfcorpus_bm25,20,ndcg,bm25_beir3,test,0.27877352580301207
nfcorpus_bm25,20,mrr,bm25_beir3,test,0.5220938445437386
nfcorpus_bm25,,mrr,bm25_beir3,test,0.5239020507405844
