dataset,k,metric,run_id,split,value
scifact,1,recall,beir3_sfr_baseline,test,0.6049444444444444
scifact,1,precision,beir3_sfr_baseline,test,0.6366666666666667
scifact,1,ndcg,beir3_sfr_baseline,test,0.6366666666666667
scifact,1,mrr,beir3_sfr_baseline,test,0.6366666666666667
scifact,3,recall,beir3_sfr_baseline,test,0.7635
scifact,3,precision,beir3_sfr_baseline,test,0.27888888888888885
scifact,3,ndcg,beir3_sfr_baseline,test,0.7126986708230851
scifact,3,mrr,beir3_sfr_baseline,test,0.7038888888888889
scifact,5,recall,beir3_sfr_baseline,test,0.8181111111111111
scifact,5,precision,beir3_sfr_baseline,test,0.18200000000000002
scifact,5,ndcg,beir3_sfr_baseline,test,0.7341898324951146
scifact,5,mrr,beir3_sfr_baseline,test,0.7163888888888889
scifact,10,recall,beir3_sfr_baseline,test,0.8722222222222222
scifact,10,precision,beir3_sfr_baseline,test,0.09966666666666667
scifact,10,ndcg,beir3_sfr_baseline,test,0.7541146579509025
scifact,10,mrr,beir3_sfr_baseline,test,0.721781746031746
scifact,20,recall,beir3_sfr_baseline,test,0.93
scifact,20,precision,beir3_sfr_baseline,test,0.053000000000000005
scifact,20,ndcg,beir3_sfr_baseline,test,0.7688356332271774
scifact,20,mrr,beir3_sfr_baseline,test,0.7253486751466628
scifact,,mrr,beir3_sfr_baseline,test,0.7261825664785235
