dataset,k,metric,run_id,split,value
popqa,1,recall,popqa_enriched_contrastive3,eval,0.0035746828345132125
popqa,1,precision,popqa_enriched_contrastive3,eval,0.0035746828345132125
popqa,1,ndcg,popqa_enriched_contrastive3,eval,0.0035746828345132125
popqa,1,mrr,popqa_enriched_contrastive3,eval,0.0035746828345132125
popqa,3,recall,popqa_enriched_contrastive3,eval,0.008411018434148735
popqa,3,precision,popqa_enriched_contrastive3,eval,0.0028036728113829115
popqa,3,ndcg,popqa_enriched_contrastive3,eval,0.006359934824620334
popqa,3,mrr,popqa_enriched_contrastive3,eval,0.005654073502955538
popqa,5,recall,popqa_enriched_contrastive3,eval,0.011915609448377374
popqa,5,precision,popqa_enriched_contrastive3,eval,0.002383121889675475
popqa,5,ndcg,popqa_enriched_contrastive3,eval,0.007786344485447464
popqa,5,mrr,popqa_enriched_contrastive3,eval,0.006435597299128525
popqa,10,recall,popqa_enriched_contrastive3,eval,0.02109763790565641
popqa,10,precision,popqa_enriched_contrastive3,eval,0.002109763790565641
popqa,10,ndcg,popqa_enriched_contrastive3,eval,0.010727004365926525
popqa,10,mrr,popqa_enriched_contrastive3,eval,0.0076319144746284295
popqa,20,recall,popqa_enriched_contrastive3,eval,0.03336370645545665
popqa,20,precision,popqa_enriched_contrastive3,eval,0.0016681853227728325
popqa,20,ndcg,popqa_enriched_contrastive3,eval,0.01380472611188001
popqa,20,mrr,popqa_enriched_contrastive3,eval,0.008464856005769664
popqa,,mrr,popqa_enriched_contrastive3,eval,0.008464856005769664
