dataset,k,metric,run_id,split,value
popqa,1,recall,popqa_enriched_sfr_baseline,eval,0.6632788953529123
popqa,1,precision,popqa_enriched_sfr_baseline,eval,0.6632788953529123
popqa,1,ndcg,popqa_enriched_sfr_baseline,eval,0.6632788953529123
popqa,1,mrr,popqa_enriched_sfr_baseline,eval,0.6632788953529123
popqa,3,recall,popqa_enriched_sfr_baseline,eval,0.8509847900749983
popqa,3,precision,popqa_enriched_sfr_baseline,eval,0.2836615966916661
popqa,3,ndcg,popqa_enriched_sfr_baseline,eval,0.7740360696767803
popqa,3,mrr,popqa_enriched_sfr_baseline,eval,0.7473657157543048
popqa,5,recall,popqa_enriched_sfr_baseline,eval,0.9049554916941193
popqa,5,precision,popqa_enriched_sfr_baseline,eval,0.18099109833882387
popqa,5,ndcg,popqa_enriched_sfr_baseline,eval,0.7963646231194477
popqa,5,mrr,popqa_enriched_sfr_baseline,eval,0.759814023036845
popqa,10,recall,popqa_enriched_sfr_baseline,eval,0.9458190229200253
popqa,10,precision,popqa_enriched_sfr_baseline,eval,0.09458190229200253
popqa,10,ndcg,popqa_enriched_sfr_baseline,eval,0.8097832440833994
popqa,10,mrr,popqa_enriched_sfr_baseline,eval,0.7654690144088756
popqa,20,recall,popqa_enriched_sfr_baseline,eval,0.9635522534520221
popqa,20,precision,popqa_enriched_sfr_baseline,eval,0.04817761267260111
popqa,20,ndcg,popqa_enriched_sfr_baseline,eval,0.814337046063206
popqa,20,mrr,popqa_enriched_sfr_baseline,eval,0.7667559281490172
popqa,,mrr,popqa_enriched_sfr_baseline,eval,0.7667559281490172
